seasonNum;length;episodes/0/episodeNum;episodes/0/length;episodes/0/episodeTitle;episodes/1/episodeNum;episodes/1/length;episodes/1/episodeTitle;episodes/2/episodeNum;episodes/2/length;episodes/2/episodeTitle;episodes/3/episodeNum;episodes/3/length;episodes/3/episodeTitle;episodes/4/episodeNum;episodes/4/length;episodes/4/episodeTitle;episodes/5/episodeNum;episodes/5/length;episodes/5/episodeTitle;episodes/6/episodeNum;episodes/6/length;episodes/6/episodeTitle;episodes/7/episodeNum;episodes/7/length;episodes/7/episodeTitle;episodes/8/episodeNum;episodes/8/length;episodes/8/episodeTitle;episodes/9/episodeNum;episodes/9/length;episodes/9/episodeTitle
1;31913;1;3515;Winter Is Coming;2;3142;The Kingsroad;3;3257;Lord Snow;4;3164;Cripples, Bastards, and Broken Things;5;3073;The Wolf and the Lion;6;2977;A Golden Crown;7;3289;You Win or You Die;8;3306;The Pointy End;9;3210;Baelor;10;2980;Fire and Blood
2;30688;1;2963;The North Remembers;2;3014;The Night Lands;3;2969;What Is Dead May Never Die;4;2845;Garden of Bones;5;3054;The Ghost of Harrenhal;6;3043;The Old Gods and the New;7;3115;A Man Without Honor;8;3005;The Prince of Winterfell;9;3070;Blackwater;10;3610;Valar Morghulis
3;31414;1;3072;Valar Dohaeris;2;3229;Dark Wings, Dark Words;3;2972;Walk of Punishment;4;3017;And Now His Watch Is Ended;5;3249;Kissed by Fire;6;3007;The Climb;7;3262;The Bear and the Maiden Fair;8;3190;Second Sons;9;2851;The Rains of Castamere;10;3565;Mhysa
4;30888;1;3295;Two Swords;2;2960;The Lion and the Rose;3;3225;Breaker of Chains;4;3109;Oathkeeper;5;2996;First of His Name;6;2845;The Laws of Gods and Men;7;2868;Mockingbird;8;2947;The Mountain and the Viper;9;2899;The Watchers on the Wall;10;3744;The Children
5;31609;1;2933;The Wars to Come;2;3135;The House of Black and White;3;3399;High Sparrow;4;2825;Sons of the Harpy;5;3205;Kill the Boy;6;3022;Unbowed, Unbent, Unbroken;7;3335;The Gift;8;3401;Hardhome;9;2943;The Dance of Dragons;10;3411;Mother's Mercy
6;31539;1;2801;The Red Woman;2;3025;Home;3;2929;Oathbreaker;4;3315;Book of the Stranger;5;3210;The Door;6;2886;Blood of My Blood;7;2821;The Broken Man;8;3303;No One;9;3365;Battle of the Bastards;10;3884;The Winds of Winter
7;24951;1;3323;Dragonstone;2;3287;Stormborn;3;3545;The Queen's Justice;4;2880;The Spoils of War;5;3316;Eastwatch;6;4006;Beyond the Wall;7;4594;The Dragon and the Wolf;;;;;;;;;
8;24421;1;2990;Winterfell;2;3277;A Knight of the Seven Kingdoms;3;4711;The Long Night;4;4425;The Last of the Starks;5;4503;The Bells;6;4515;The Iron Throne;;;;;;;;;;;;
